image,dp_pupil,r_pupil,dp_iris,r_iris,dp_eyelid,dist_eyelid,TP,FP,FN,precision,recall,f1
042/R/S1042R01.jpg,1.2,20,1.2,50,1.2,200,3,0,1,1.0,0.75,0.8571428571428571
042/R/S1042R03.jpg,1.2,20,1.2,20,1.2,150,3,0,1,1.0,0.75,0.8571428571428571
042/R/S1042R04.jpg,1.2,20,1.2,20,1.2,150,1,2,3,0.3333333333333333,0.25,0.28571428571428575
042/R/S1042R05.jpg,1.2,20,1.2,30,1.2,150,3,0,1,1.0,0.75,0.8571428571428571
042/R/S1042R06.jpg,1.2,20,1.2,30,1.2,200,1,1,3,0.5,0.25,0.3333333333333333
042/R/S1042R07.jpg,1.2,20,1.2,20,1.2,150,2,1,2,0.6666666666666666,0.5,0.5714285714285715
042/R/S1042R08.jpg,1.2,20,1.2,30,1.2,150,3,0,1,1.0,0.75,0.8571428571428571
042/R/S1042R09.jpg,1.2,20,1.2,20,1.2,150,2,1,2,0.6666666666666666,0.5,0.5714285714285715
042/R/S1042R10.jpg,1.2,20,1.2,30,1.2,150,3,0,1,1.0,0.75,0.8571428571428571
043/L/S1043L01.jpg,1.2,20,1.2,20,1.2,150,1,2,3,0.3333333333333333,0.25,0.28571428571428575
043/L/S1043L04.jpg,1.2,20,1.2,20,1.2,150,1,0,3,1.0,0.25,0.4
043/L/S1043L05.jpg,1.5,20,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
043/L/S1043L06.jpg,1.2,20,1.2,50,1.5,200,2,0,2,1.0,0.5,0.6666666666666666
043/L/S1043L07.jpg,1.2,20,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
043/L/S1043L10.jpg,1.2,20,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
043/R/S1043R01.jpg,1.2,20,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
043/R/S1043R02.jpg,1.2,20,1.2,20,1.5,200,1,0,3,1.0,0.25,0.4
043/R/S1043R03.jpg,1.2,20,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
043/R/S1043R04.jpg,1.2,20,1.2,50,1.5,200,2,0,2,1.0,0.5,0.6666666666666666
043/R/S1043R05.jpg,1.2,20,1.2,20,1.2,150,2,0,2,1.0,0.5,0.6666666666666666
043/R/S1043R06.jpg,1.2,20,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
043/R/S1043R07.jpg,1.2,20,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
043/R/S1043R09.jpg,1.2,30,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
045/L/S1045L06.jpg,1.2,20,1.5,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
045/L/S1045L08.jpg,1.2,30,1.2,20,1.2,150,1,0,3,1.0,0.25,0.4
045/L/S1045L11.jpg,1.5,20,1.2,20,1.2,150,1,2,3,0.3333333333333333,0.25,0.28571428571428575
045/R/S1045R01.jpg,1.2,20,1.2,20,1.2,150,1,0,3,1.0,0.25,0.4
045/R/S1045R05.jpg,1.2,20,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
045/R/S1045R07.jpg,1.2,20,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
046/R/S1046R01.jpg,1.2,20,1.2,20,1.2,200,1,1,3,0.5,0.25,0.3333333333333333
046/R/S1046R02.jpg,1.2,20,1.2,20,1.2,150,2,0,2,1.0,0.5,0.6666666666666666
046/R/S1046R03.jpg,1.2,30,1.2,20,1.2,200,1,1,3,0.5,0.25,0.3333333333333333
046/R/S1046R04.jpg,1.2,20,1.2,20,1.2,200,2,0,2,1.0,0.5,0.6666666666666666
048/R/S1048R02.jpg,1.2,20,1.2,20,1.2,150,1,0,3,1.0,0.25,0.4
048/R/S1048R03.jpg,1.2,20,1.2,20,1.2,150,1,0,3,1.0,0.25,0.4
048/R/S1048R04.jpg,1.2,50,1.2,20,1.2,150,1,0,3,1.0,0.25,0.4
048/R/S1048R05.jpg,1.2,20,1.2,30,1.2,150,1,0,3,1.0,0.25,0.4
048/R/S1048R06.jpg,1.2,20,1.2,20,1.5,150,1,1,3,0.5,0.25,0.3333333333333333
049/L/S1049L01.jpg,1.2,20,1.2,20,1.2,200,1,0,3,1.0,0.25,0.4
049/L/S1049L02.jpg,1.2,20,1.2,50,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
049/L/S1049L03.jpg,1.2,20,1.2,20,1.5,200,1,1,3,0.5,0.25,0.3333333333333333
050/L/S1050L01.jpg,1.2,30,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
050/L/S1050L05.jpg,1.2,20,1.2,20,1.5,150,1,2,3,0.3333333333333333,0.25,0.28571428571428575
051/R/S1051R01.jpg,1.2,20,1.2,50,1.2,200,2,1,2,0.6666666666666666,0.5,0.5714285714285715
051/R/S1051R03.jpg,1.2,20,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
051/R/S1051R04.jpg,1.5,20,1.2,20,1.2,200,1,1,3,0.5,0.25,0.3333333333333333
051/R/S1051R05.jpg,1.2,20,1.2,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
052/L/S1052L02.jpg,1.2,50,1.5,20,1.2,150,1,1,3,0.5,0.25,0.3333333333333333
053/L/S1053L01.jpg,1.2,50,1.2,20,1.5,200,1,1,3,0.5,0.25,0.3333333333333333
